x,y,z
-0.21109,-0.401993,0.026085
-0.211391,-0.401822,0.011306
-0.315485,1.277679,1.157128
-0.312715,1.277208,1.111444
-0.31717,1.277271,1.082723
-0.333662,1.277208,1.103817
-0.337231,1.2773,1.084201
-0.499112,0.161446,0.59425
-0.499879,0.204717,0.603317
-0.499638,0.158729,0.59471
0.135045,-0.379786,0.179568
0.134827,-0.380371,0.184658
0.134061,-0.380371,0.181853
0.133141,-0.380003,0.185708
0.132396,-0.380003,0.182939
-0.18617,0.660109,-0.244113
-0.186565,0.667882,-0.24536
-0.186469,0.655542,-0.245128
-0.028089,0.074944,0.188441
-0.028552,0.075734,0.188349
-0.028343,0.075706,0.188093
-0.484688,0.721446,0.446028
-0.486991,0.742901,0.435397
-0.487416,0.719113,0.447587
-0.488492,0.71826,0.435867
-0.071169,1.1942,0.477907
-0.071556,1.196589,0.512078
-0.071626,1.190111,0.482432
-0.516799,-1.995021,0.084114
-0.51647,-2.018606,0.095578
-0.51687,-2.025377,0.089795
-0.517982,-1.959867,0.089567
-0.170177,-2.209654,0.495957
-0.167877,-2.214161,0.509519
-0.174254,-2.208228,0.50469
-0.031458,-0.335176,0.056419
-0.031343,-0.335368,0.054524
-0.031574,-0.334974,0.058309
0.027998,-0.391352,0.257704
0.027676,-0.393444,0.257009
0.027431,-0.399525,0.256395
0.7212,0.347196,0.436176
0.722668,0.343913,0.43652
0.719472,0.343497,0.443878
-0.499108,-0.267183,0.595378
-0.500299,-0.229289,0.579429
-0.49999,-0.264462,0.596131
-0.002933,0.144519,0.16997
-0.002944,0.1444,0.169629
-0.003448,0.145382,0.169557
-0.004709,-0.155046,0.090075
-0.006503,-0.156298,0.087081
-0.007766,-0.155961,0.08525
-0.008271,-0.156298,0.08718
2.419886,-0.479389,0.976586
2.4164,-0.46433,0.920328
2.418326,-0.45335,0.920875
2.418805,-0.490636,0.976244
2.418207,-0.503632,1.003321
2.416735,-0.501688,0.97561
2.412856,-0.469776,1.030473
2.41478,-0.458667,1.031108
2.414316,-0.466871,0.97497
2.414288,-0.504603,1.030855
2.413988,-0.485123,0.892091
-0.003135,-0.424862,0.262432
-0.0042,-0.424891,0.262041
-0.00332,-0.425891,0.262123
-0.005932,-0.425861,0.262137
-0.009515,-0.42581,0.261999
0.341004,0.656025,0.285595
0.341205,0.65514,0.282009
0.336764,0.65486,0.285317
-0.264354,-0.402751,0.2222
-0.257021,-0.40275,0.217843
-0.271167,-0.401794,0.223932
-0.266599,-0.402444,0.224565
-0.266636,-0.402444,0.218991
-0.269428,-0.40296,0.224171
0.21482,-0.407368,0.598978
0.213802,-0.409256,0.597516
0.210263,-0.409944,0.600324
0.204613,-0.410446,0.599735
2.399648,-0.319514,2.121419
2.400112,-0.333085,2.121743
2.398954,-0.346442,2.120817
-0.024375,0.113325,0.180359
-0.023783,0.108478,0.180641
-0.02537,0.114223,0.180646
-0.025134,0.112253,0.180677
0.733907,-0.457458,-0.198809
0.728516,-0.458735,-0.195378
0.703378,-0.457243,-0.199339
0.718082,-0.45948,-0.198956
0.858844,-0.676898,2.230172
0.835572,-0.685828,2.234673
0.787429,-0.681028,2.2376
0.078834,-0.410763,0.511236
0.075576,-0.409954,0.511496
0.074672,-0.410441,0.509299
-0.224132,1.184947,-0.253976
-0.218587,1.168044,-0.255072
-0.231879,1.18083,-0.255063
-0.140824,-2.219658,0.356612
-0.143717,-2.220654,0.353689
-0.15194,-2.219792,0.358809
-0.16177,-2.220788,0.347361
-0.280523,-0.406194,0.447537
-0.28831,-0.406976,0.450755
-0.286238,-0.407169,0.443413
